question,answer,label
자기소개 해주세요.,개발자가 되면 그냥 돈 잘 벌고 싶어요.,terminate
지원 동기를 말씀해주세요.,입사 후에는 초기에는 빠르게 학습하며 이후에는 주도적인 기여를 하고 싶습니다.,continue
본인의 장점은 무엇인가요?,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
단점을 어떻게 보완하고 있나요?,저는 단점이 많은데 굳이 하나를 꼽자면 게으른 편입니다.,terminate
자기소개 해주세요.,기술적으로 어려운 부분도 팀원과 Pair Programming으로 함께 해결했습니다.,continue
어떤 개발자가 되고 싶나요?,입사하면 시키는 거 열심히 하겠습니다.,terminate
실패 경험이 있다면 말씀해주세요.,실패한 적은 없었던 것 같아요.,terminate
문제를 해결한 경험이 있나요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
본인의 장점은 무엇인가요?,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
지원 동기를 말씀해주세요.,React나 그런 건 들어만 봤어요. 아직 제대로 써본 적은 없습니다.,terminate
입사 후 포부를 말해주세요.,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
문제를 해결한 경험이 있나요?,저는 팀에서 백엔드를 맡아 배포까지 책임졌습니다. 그 경험으로 책임감을 키웠습니다.,continue
자기소개 해주세요.,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
지원 동기를 말씀해주세요.,입사하면 시키는 거 열심히 하겠습니다.,terminate
단점을 어떻게 보완하고 있나요?,실패 경험을 바탕으로 항상 사전 테스트와 체크리스트를 만들고 있습니다.,continue
어떤 개발자가 되고 싶나요?,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
입사 후 포부를 말해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
자기소개 해주세요.,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
문제를 해결한 경험이 있나요?,실패한 적은 없었던 것 같아요.,terminate
지원 동기를 말씀해주세요.,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
실패 경험이 있다면 말씀해주세요.,갈등 상황에서는 먼저 경청하고 상대방 입장에서 생각하려고 노력합니다.,continue
본인의 장점은 무엇인가요?,저는 단점이 많은데 굳이 하나를 꼽자면 게으른 편입니다.,terminate
단점을 어떻게 보완하고 있나요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
자기소개 해주세요.,음... 특별한 건 없고 그냥 개발이 좋아서요.,terminate
문제를 해결한 경험이 있나요?,입사 후에는 초기에는 빠르게 학습하며 이후에는 주도적인 기여를 하고 싶습니다.,continue
어떤 개발자가 되고 싶나요?,기술적으로 어려운 부분도 팀원과 Pair Programming으로 함께 해결했습니다.,continue
지원 동기를 말씀해주세요.,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
실패 경험이 있다면 말씀해주세요.,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
입사 후 포부를 말해주세요.,입사하면 시키는 거 열심히 하겠습니다.,terminate
자기소개 해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
문제를 해결한 경험이 있나요?,저는 단점이 많은데 굳이 하나를 꼽자면 게으른 편입니다.,terminate
지원 동기를 말씀해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
단점을 어떻게 보완하고 있나요?,지원 동기는 제가 직접 써본 서비스였기 때문입니다. 개선 아이디어도 많이 생각해왔습니다.,continue
입사 후 포부를 말해주세요.,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
자기소개 해주세요.,개발자가 되면 그냥 돈 잘 벌고 싶어요.,terminate
문제를 해결한 경험이 있나요?,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
실패 경험이 있다면 말씀해주세요.,입사하면 시키는 거 열심히 하겠습니다.,terminate
본인의 장점은 무엇인가요?,기술적으로 어려운 부분도 팀원과 Pair Programming으로 함께 해결했습니다.,continue
어떤 개발자가 되고 싶나요?,실패한 적은 없었던 것 같아요.,terminate
지원 동기를 말씀해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
자기소개 해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
문제를 해결한 경험이 있나요?,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
단점을 어떻게 보완하고 있나요?,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
지원 동기를 말씀해주세요.,실패 경험을 바탕으로 항상 사전 테스트와 체크리스트를 만들고 있습니다.,continue
어떤 개발자가 되고 싶나요?,입사하면 시키는 거 열심히 하겠습니다.,terminate
자기소개 해주세요.,입사 후에는 초기에는 빠르게 학습하며 이후에는 주도적인 기여를 하고 싶습니다.,continue
실패 경험이 있다면 말씀해주세요.,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
입사 후 포부를 말해주세요.,음... 특별한 건 없고 그냥 개발이 좋아서요.,terminate
단점을 어떻게 보완하고 있나요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
지원 동기를 말씀해주세요.,실패한 적은 없었던 것 같아요.,terminate
문제를 해결한 경험이 있나요?,React나 그런 건 들어만 봤어요. 아직 제대로 써본 적은 없습니다.,terminate
어떤 개발자가 되고 싶나요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
본인의 장점은 무엇인가요?,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
실패 경험이 있다면 말씀해주세요.,입사하면 시키는 거 열심히 하겠습니다.,terminate
지원 동기를 말씀해주세요.,갈등 상황에서는 먼저 경청하고 상대방 입장에서 생각하려고 노력합니다.,continue
자기소개 해주세요.,실패한 적은 없었던 것 같아요.,terminate
문제를 해결한 경험이 있나요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
입사 후 포부를 말해주세요.,개발자가 되면 그냥 돈 잘 벌고 싶어요.,terminate
어떤 개발자가 되고 싶나요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
지원 동기를 말씀해주세요.,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
자기소개 해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
단점을 어떻게 보완하고 있나요?,최근 진행한 프로젝트에서 사용자의 이탈률을 분석해 UI 개선을 직접 제안했습니다.,continue
갈등 상황을 어떻게 해결했나요?,제가 그걸 잘했는지 모르겠지만 하라는 대로 했습니다.,terminate
입사 후 포부를 말해주세요.,기술 커뮤니티에서 발표를 하며 질문을 받고 토론했던 경험이 인상 깊었습니다.,continue
지원 동기를 말씀해주세요.,대학교 동아리에서 AI 면접 평가 도구를 개발하며 면접자 피드백 시스템을 설계했습니다.,continue
실패 경험이 있다면 말씀해주세요.,사실 잘 기억이 안 나는데 그냥 대충 했던 것 같아요.,terminate
본인의 장점은 무엇인가요?,제 경험 중 가장 기억에 남는 것은 에러 로그 분석을 자동화한 도구를 만든 일입니다.,continue
팀 프로젝트 경험을 말씀해주세요.,대학교 동아리에서 AI 면접 평가 도구를 개발하며 면접자 피드백 시스템을 설계했습니다.,continue
실패 경험이 있다면 말씀해주세요.,특별히 한 건 없고 그냥 수업 열심히 들었어요.,terminate
어떤 개발자가 되고 싶나요?,사실 잘 기억이 안 나는데 그냥 대충 했던 것 같아요.,terminate
지원 동기를 말씀해주세요.,프로젝트는 팀원들이 다 했고 저는 별로 기여한 게 없어요.,terminate
입사 후 포부를 말해주세요.,제가 그걸 잘했는지 모르겠지만 하라는 대로 했습니다.,terminate
어떤 개발자가 되고 싶나요?,제 블로그 중 하나가 구글 검색 1페이지에 올라 검색 최적화에 자신감이 생겼습니다.,continue
자기소개 해주세요.,특별히 한 건 없고 그냥 수업 열심히 들었어요.,terminate
문제를 해결한 경험이 있나요?,특별히 한 건 없고 그냥 수업 열심히 들었어요.,terminate
지원 동기를 말씀해주세요.,최근 진행한 프로젝트에서 사용자의 이탈률을 분석해 UI 개선을 직접 제안했습니다.,continue
어떤 개발자가 되고 싶나요?,제 블로그 중 하나가 구글 검색 1페이지에 올라 검색 최적화에 자신감이 생겼습니다.,continue
자기소개 해주세요.,제 블로그 중 하나가 구글 검색 1페이지에 올라 검색 최적화에 자신감이 생겼습니다.,continue
단점을 어떻게 보완하고 있나요?,최근 진행한 프로젝트에서 사용자의 이탈률을 분석해 UI 개선을 직접 제안했습니다.,continue
갈등 상황을 어떻게 해결했나요?,기술 커뮤니티에서 발표를 하며 질문을 받고 토론했던 경험이 인상 깊었습니다.,continue
어떤 개발자가 되고 싶나요?,제 블로그 중 하나가 구글 검색 1페이지에 올라 검색 최적화에 자신감이 생겼습니다.,continue
자기소개 해주세요.,그냥 보통이에요. 특별히 궁금해하실 건 없는 것 같아요.,terminate
문제를 해결한 경험이 있나요?,최근 진행한 프로젝트에서 사용자의 이탈률을 분석해 UI 개선을 직접 제안했습니다.,continue
갈등 상황을 어떻게 해결했나요?,그냥 보통이에요. 특별히 궁금해하실 건 없는 것 같아요.,terminate
갈등 상황을 어떻게 해결했나요?,프로젝트는 팀원들이 다 했고 저는 별로 기여한 게 없어요.,terminate
어떤 개발자가 되고 싶나요?,기술 커뮤니티에서 발표를 하며 질문을 받고 토론했던 경험이 인상 깊었습니다.,continue
지원 동기를 말씀해주세요.,제 경험 중 가장 기억에 남는 것은 에러 로그 분석을 자동화한 도구를 만든 일입니다.,continue
어떤 개발자가 되고 싶나요?,프로젝트는 팀원들이 다 했고 저는 별로 기여한 게 없어요.,terminate
본인의 장점은 무엇인가요?,대학교 동아리에서 AI 면접 평가 도구를 개발하며 면접자 피드백 시스템을 설계했습니다.,continue
문제를 해결한 경험이 있나요?,최근 진행한 프로젝트에서 사용자의 이탈률을 분석해 UI 개선을 직접 제안했습니다.,continue
입사 후 포부를 말해주세요.,제 블로그 중 하나가 구글 검색 1페이지에 올라 검색 최적화에 자신감이 생겼습니다.,continue
문제를 해결한 경험이 있나요?,프로젝트는 팀원들이 다 했고 저는 별로 기여한 게 없어요.,terminate
입사 후 포부를 말해주세요.,그냥 보통이에요. 특별히 궁금해하실 건 없는 것 같아요.,terminate
문제를 해결한 경험이 있나요?,특별히 한 건 없고 그냥 수업 열심히 들었어요.,terminate
팀 프로젝트 경험을 말씀해주세요.,프로젝트는 팀원들이 다 했고 저는 별로 기여한 게 없어요.,terminate
지원 동기를 말씀해주세요.,제가 그걸 잘했는지 모르겠지만 하라는 대로 했습니다.,terminate
팀 프로젝트 경험을 말씀해주세요.,제가 그걸 잘했는지 모르겠지만 하라는 대로 했습니다.,terminate
입사 후 포부를 말해주세요.,제 블로그 중 하나가 구글 검색 1페이지에 올라 검색 최적화에 자신감이 생겼습니다.,continue
자기소개 해주세요.,특별히 한 건 없고 그냥 수업 열심히 들었어요.,terminate
팀 프로젝트 경험을 말씀해주세요.,제 경험 중 가장 기억에 남는 것은 에러 로그 분석을 자동화한 도구를 만든 일입니다.,continue
지원 동기를 말씀해주세요.,그냥 보통이에요. 특별히 궁금해하실 건 없는 것 같아요.,terminate
팀 프로젝트 경험을 말씀해주세요.,프로젝트는 팀원들이 다 했고 저는 별로 기여한 게 없어요.,terminate
실패 경험이 있다면 말씀해주세요.,프로젝트는 팀원들이 다 했고 저는 별로 기여한 게 없어요.,terminate
갈등 상황을 어떻게 해결했나요?,대학교 동아리에서 AI 면접 평가 도구를 개발하며 면접자 피드백 시스템을 설계했습니다.,continue
실패 경험이 있다면 말씀해주세요.,제 블로그 중 하나가 구글 검색 1페이지에 올라 검색 최적화에 자신감이 생겼습니다.,continue
팀 프로젝트 경험을 말씀해주세요.,대학교 동아리에서 AI 면접 평가 도구를 개발하며 면접자 피드백 시스템을 설계했습니다.,continue
단점을 어떻게 보완하고 있나요?,그냥 보통이에요. 특별히 궁금해하실 건 없는 것 같아요.,terminate
문제를 해결한 경험이 있나요?,제 경험 중 가장 기억에 남는 것은 에러 로그 분석을 자동화한 도구를 만든 일입니다.,continue
실패 경험이 있다면 말씀해주세요.,그냥 보통이에요. 특별히 궁금해하실 건 없는 것 같아요.,terminate
입사 후 포부를 말해주세요.,제가 그걸 잘했는지 모르겠지만 하라는 대로 했습니다.,terminate
입사 후 포부를 말해주세요.,기술 커뮤니티에서 발표를 하며 질문을 받고 토론했던 경험이 인상 깊었습니다.,continue
갈등 상황을 어떻게 해결했나요?,그냥 다 같이 했어요. 딱히 제 몫은 없었습니다.,terminate
입사 후 포부를 말해주세요.,특별한 역할은 없었고 시키는 일만 했습니다.,terminate
입사 후 포부를 말해주세요.,정리정돈을 워낙 좋아해서 팀원들이 협업 문서를 모두 저에게 맡겼습니다. 그 과정을 통해...,continue
본인의 장점은 무엇인가요?,그냥 다 같이 했어요. 딱히 제 몫은 없었습니다.,terminate
실패 경험이 있다면 말씀해주세요.,UX 개선 아이디어를 제안했는데 실제로 서비스 반영돼 사용자 클릭률이 15% 올랐던 경험이 있습니다.,continue
실패 경험이 있다면 말씀해주세요.,AI 챗봇 프로젝트에서 감정 분류 모델 튜닝을 맡았는데 F1 점수를 10% 이상 올렸습니다.,continue
자기소개 해주세요.,회사 인턴십 중 백엔드 서버를 처음부터 혼자 설계해본 경험이 있는데 DB 스키마 고민이 특히 많았어요.,continue
입사 후 포부를 말해주세요.,배달앱 클론 코딩을 할 때 실제 배달 트래픽 시뮬레이션을 넣어 성능 개선 실험을 해봤습니다.,continue
실패 경험이 있다면 말씀해주세요.,깃 컨벤션을 도입해서 팀의 커밋 로그 품질이 향상되었고 리팩토링 시 훨씬 수월했습니다.,continue
본인의 장점은 무엇인가요?,뭐 그냥 팀에서 하라는 대로 했던 것 같아요.,terminate
팀 프로젝트 경험을 말씀해주세요.,특별한 역할은 없었고 시키는 일만 했습니다.,terminate
지원 동기를 말씀해주세요.,뭐 그냥 팀에서 하라는 대로 했던 것 같아요.,terminate
팀 프로젝트 경험을 말씀해주세요.,정리정돈을 워낙 좋아해서 팀원들이 협업 문서를 모두 저에게 맡겼습니다. 그 과정을 통해...,continue
단점을 어떻게 보완하고 있나요?,깃 컨벤션을 도입해서 팀의 커밋 로그 품질이 향상되었고 리팩토링 시 훨씬 수월했습니다.,continue
본인의 장점은 무엇인가요?,정리정돈을 워낙 좋아해서 팀원들이 협업 문서를 모두 저에게 맡겼습니다. 그 과정을 통해...,continue
입사 후 포부를 말해주세요.,정리정돈을 워낙 좋아해서 팀원들이 협업 문서를 모두 저에게 맡겼습니다. 그 과정을 통해...,continue
갈등 상황을 어떻게 해결했나요?,정리정돈을 워낙 좋아해서 팀원들이 협업 문서를 모두 저에게 맡겼습니다. 그 과정을 통해...,continue
어떤 개발자가 되고 싶나요?,특별한 역할은 없었고 시키는 일만 했습니다.,terminate
자기소개 해주세요.,그냥 평범하게 했습니다. 특별한 건 없어요.,terminate
실패 경험이 있다면 말씀해주세요.,AI 챗봇 프로젝트에서 감정 분류 모델 튜닝을 맡았는데 F1 점수를 10% 이상 올렸습니다.,continue
문제를 해결한 경험이 있나요?,UX 개선 아이디어를 제안했는데 실제로 서비스 반영돼 사용자 클릭률이 15% 올랐던 경험이 있습니다.,continue
자기소개 해주세요.,작년에 진행한 자율주행 미니 프로젝트에서 센서 오류를 개선한 방식에 대해 자세히 설명드릴 수 있습니다.,continue
단점을 어떻게 보완하고 있나요?,배달앱 클론 코딩을 할 때 실제 배달 트래픽 시뮬레이션을 넣어 성능 개선 실험을 해봤습니다.,continue
실패 경험이 있다면 말씀해주세요.,회사 인턴십 중 백엔드 서버를 처음부터 혼자 설계해본 경험이 있는데 DB 스키마 고민이 특히 많았어요.,continue
갈등 상황을 어떻게 해결했나요?,CI/CD 파이프라인을 GitHub Actions로 연결하면서 테스트 실패 시 슬랙 알림 기능도 붙였습니다.,continue
문제를 해결한 경험이 있나요?,깃 컨벤션을 도입해서 팀의 커밋 로그 품질이 향상되었고 리팩토링 시 훨씬 수월했습니다.,continue
팀 프로젝트 경험을 말씀해주세요.,배달앱 클론 코딩을 할 때 실제 배달 트래픽 시뮬레이션을 넣어 성능 개선 실험을 해봤습니다.,continue
실패 경험이 있다면 말씀해주세요.,CI/CD 파이프라인을 GitHub Actions로 연결하면서 테스트 실패 시 슬랙 알림 기능도 붙였습니다.,continue
문제를 해결한 경험이 있나요?,AI 챗봇 프로젝트에서 감정 분류 모델 튜닝을 맡았는데 F1 점수를 10% 이상 올렸습니다.,continue
입사 후 포부를 말해주세요.,정리정돈을 워낙 좋아해서 팀원들이 협업 문서를 모두 저에게 맡겼습니다. 그 과정을 통해...,continue
지원 동기를 말씀해주세요.,"해외 해커톤에 온라인으로 참여해 3등 수상했고, 영어로 발표까지 진행한 경험이 있습니다.",continue
입사 후 포부를 말해주세요.,코딩 동아리에서 후배들에게 Git 교육을 맡으며 협업에 대해 스스로도 많이 배우게 됐어요.,continue
자기소개 해주세요.,"해외 해커톤에 온라인으로 참여해 3등 수상했고, 영어로 발표까지 진행한 경험이 있습니다.",continue
팀 프로젝트 경험을 말씀해주세요.,제가 뭘 했는지는 잘 모르겠습니다. 팀원들이 주로 했던 것 같아요.,terminate
지원 동기를 말씀해주세요.,별로 기억에 남는 게 없어요. 평범했던 것 같아요.,terminate
지원 동기를 말씀해주세요.,Kubernetes 환경에서 배포 자동화를 구성하면서 Helm 차트를 직접 만들어본 적도 있어요.,continue
실패 경험이 있다면 말씀해주세요.,그건 팀장님이 다 정하셔서 저는 잘 몰랐습니다.,terminate
실패 경험이 있다면 말씀해주세요.,코딩 동아리에서 후배들에게 Git 교육을 맡으며 협업에 대해 스스로도 많이 배우게 됐어요.,continue
단점을 어떻게 보완하고 있나요?,"실제 고객 인터뷰를 통해 개선 아이디어를 정리했고, 이를 기획안으로 문서화해 제안한 경험이 있어요.",continue
어떤 개발자가 되고 싶나요?,그건 팀장님이 다 정하셔서 저는 잘 몰랐습니다.,terminate
문제를 해결한 경험이 있나요?,Kubernetes 환경에서 배포 자동화를 구성하면서 Helm 차트를 직접 만들어본 적도 있어요.,continue
문제를 해결한 경험이 있나요?,그건 팀장님이 다 정하셔서 저는 잘 몰랐습니다.,terminate
팀 프로젝트 경험을 말씀해주세요.,코딩 동아리에서 후배들에게 Git 교육을 맡으며 협업에 대해 스스로도 많이 배우게 됐어요.,continue
어떤 개발자가 되고 싶나요?,제가 뭘 했는지는 잘 모르겠습니다. 팀원들이 주로 했던 것 같아요.,terminate
단점을 어떻게 보완하고 있나요?,Kubernetes 환경에서 배포 자동화를 구성하면서 Helm 차트를 직접 만들어본 적도 있어요.,continue
실패 경험이 있다면 말씀해주세요.,미니 프로젝트에서 OCR과 TTS를 활용한 시각장애인용 안내 시스템을 만든 경험이 있습니다.,continue
문제를 해결한 경험이 있나요?,미니 프로젝트에서 OCR과 TTS를 활용한 시각장애인용 안내 시스템을 만든 경험이 있습니다.,continue
실패 경험이 있다면 말씀해주세요.,그냥 시키는 거 열심히 했습니다. 구체적인 건 잘 몰라요.,terminate
어떤 개발자가 되고 싶나요?,Kubernetes 환경에서 배포 자동화를 구성하면서 Helm 차트를 직접 만들어본 적도 있어요.,continue
단점을 어떻게 보완하고 있나요?,제가 정확히 어떤 역할을 했는지는 기억이 잘 안 나요.,terminate
실패 경험이 있다면 말씀해주세요.,"GPT API를 활용해 개발한 챗봇이 하루 1,000명 이상 사용되었고 유지보수까지 담당했습니다.",continue
자기소개 해주세요.,딱히 말할 건 없고 그냥 무난하게 지나갔어요.,terminate
어떤 개발자가 되고 싶나요?,"해외 해커톤에 온라인으로 참여해 3등 수상했고, 영어로 발표까지 진행한 경험이 있습니다.",continue
단점을 어떻게 보완하고 있나요?,설명은 잘 못하겠고 그냥 하라는 대로 했습니다.,terminate
자기소개 해주세요.,딱히 말할 건 없고 그냥 무난하게 지나갔어요.,terminate
실패 경험이 있다면 말씀해주세요.,다른 친구들이 기술적인 부분을 맡았고 저는 문서 작업만 했습니다.,terminate
입사 후 포부를 말해주세요.,"GPT API를 활용해 개발한 챗봇이 하루 1,000명 이상 사용되었고 유지보수까지 담당했습니다.",continue
갈등 상황을 어떻게 해결했나요?,다른 친구들이 기술적인 부분을 맡았고 저는 문서 작업만 했습니다.,terminate
지원 동기를 말씀해주세요.,제가 뭘 했는지는 잘 모르겠습니다. 팀원들이 주로 했던 것 같아요.,terminate
어떤 개발자가 되고 싶나요?,코딩 동아리에서 후배들에게 Git 교육을 맡으며 협업에 대해 스스로도 많이 배우게 됐어요.,continue
문제를 해결한 경험이 있나요?,그냥 시키는 거 열심히 했습니다. 구체적인 건 잘 몰라요.,terminate
어떤 개발자가 되고 싶나요?,제가 정확히 어떤 역할을 했는지는 기억이 잘 안 나요.,terminate
단점을 어떻게 보완하고 있나요?,Kubernetes 환경에서 배포 자동화를 구성하면서 Helm 차트를 직접 만들어본 적도 있어요.,continue
본인의 장점은 무엇인가요?,다른 친구들이 기술적인 부분을 맡았고 저는 문서 작업만 했습니다.,terminate
어떤 개발자가 되고 싶나요?,별로 기억에 남는 게 없어요. 평범했던 것 같아요.,terminate
본인의 장점은 무엇인가요?,제가 뭘 했는지는 잘 모르겠습니다. 팀원들이 주로 했던 것 같아요.,terminate
자기소개 해주세요.,"GPT API를 활용해 개발한 챗봇이 하루 1,000명 이상 사용되었고 유지보수까지 담당했습니다.",continue
갈등 상황을 어떻게 해결했나요?,별로 기억에 남는 게 없어요. 평범했던 것 같아요.,terminate
실패 경험이 있다면 말씀해주세요.,다른 친구들이 기술적인 부분을 맡았고 저는 문서 작업만 했습니다.,terminate
어떤 개발자가 되고 싶나요?,"해외 해커톤에 온라인으로 참여해 3등 수상했고, 영어로 발표까지 진행한 경험이 있습니다.",continue
팀 프로젝트 경험을 말씀해주세요.,"실제 고객 인터뷰를 통해 개선 아이디어를 정리했고, 이를 기획안으로 문서화해 제안한 경험이 있어요.",continue
단점을 어떻게 보완하고 있나요?,기획자와 직접 커뮤니케이션하며 기능 스펙을 조율했던 경험이 인상 깊었습니다.,continue
자기소개 해주세요.,그건 팀장님이 다 정하셔서 저는 잘 몰랐습니다.,terminate
문제를 해결한 경험이 있나요?,"GPT API를 활용해 개발한 챗봇이 하루 1,000명 이상 사용되었고 유지보수까지 담당했습니다.",continue
팀 프로젝트 경험을 말씀해주세요.,Kubernetes 환경에서 배포 자동화를 구성하면서 Helm 차트를 직접 만들어본 적도 있어요.,continue
자기소개 해주세요.,그냥 시키는 거 열심히 했습니다. 구체적인 건 잘 몰라요.,terminate
본인의 장점은 무엇인가요?,코딩 동아리에서 후배들에게 Git 교육을 맡으며 협업에 대해 스스로도 많이 배우게 됐어요.,continue
단점을 어떻게 보완하고 있나요?,그냥 시키는 거 열심히 했습니다. 구체적인 건 잘 몰라요.,terminate
갈등 상황을 어떻게 해결했나요?,코딩 동아리에서 후배들에게 Git 교육을 맡으며 협업에 대해 스스로도 많이 배우게 됐어요.,continue
팀 프로젝트 경험을 말씀해주세요.,그냥 시키는 거 열심히 했습니다. 구체적인 건 잘 몰라요.,terminate
