question,answer,label
"협업을 하며 기억에 남는 피드백이 있다면?","함께 일하던 팀원이 '기술만 보는 게 아니라 사람을 배려하는 방식이 좋다'고 말해줬는데, 이후부터는 더 적극적으로 소통하려고 노력했습니다.","continue"
"협업을 하며 기억에 남는 피드백이 있다면?","백엔드 개발을 할 때 API 명세 그대로 개발하지 않고, 개발을 해서 협업에서 문제가 생긴 적이 있습니다. 그래서 이 경험 이후로는 명세에 맞춰서 개발하거나, 바뀐 부분이 있다면 팀원들에게 바로 알리는 습관을 들였습니다.","continue"
"협업을 하며 기억에 남는 피드백이 있다면?","코드 작성을 할 때 주석 추가를 해서 다른 팀원들도 이해를 할 수 있게 해달라는 피드백을 받은 적이 있습니다. 이후로는 추가한 메서드에는 주석 추가를 하여 개발하는 습관을 들였습니다.","continue"
"협업을 하며 기억에 남는 피드백이 있다면?","대체로 열심히 한다는 피드백을 들었던 것 같습니다.","terminate"
"협업을 하며 기억에 남는 피드백이 있다면?","빨리 개발해달라는 말을 들었습니다.","terminate"
"협업을 하며 기억에 남는 피드백이 있다면?","GPT 좀 그만 쓰라는 말을 들었습니다.","terminate"
"기억에 남는 학교 수업이 있다면?","교육철학 수업에서 배운 '가르침은 존재를 깨운다'는 문장이 깊이 남아있습니다. 덕분에 지식을 단순히 전달하는 것을 넘어서고자 고민하게 됐습니다.","continue"
"기억에 남는 학교 수업이 있다면?","'IP와 지식재산'이라는 과목을 들었습니다. 소프트웨어 전공이지만 개발만 배우는 전공 수업이 아닌, 아이디어를 향상시킬 수 있는 수업이어서 배운 점이 많습니다.","continue"
"기억에 남는 학교 수업이 있다면?","Spring Boot를 사용하여 웹 개발에 대한 수업을 들었습니다. 백엔드와 프론트엔드를 한 번에 개발할 수 있었어서 흥미로웠습니다.","continue"
"기억에 남는 학교 수업이 있다면?","학교 수업은 전반적으로 무난했습니다. 특별히 기억에 남는 건 잘 모르겠습니다.","terminate"
"기억에 남는 학교 수업이 있다면?","수업에 관심은 없고, 학교 축제가 재밌었습니다.","terminate"
"기억에 남는 학교 수업이 있다면?","학교를 잘 나가지 않았습니다.","terminate"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","서로의 입장을 충분히 들은 후, 감정이 아닌 사실에 집중하려고 합니다. 최근엔 회의 중 의견 충돌이 있었지만, 문서로 정리해 조율한 경험이 있습니다.","continue"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","먼저 제 의견을 주장하지 않고 남의 입장에서 생각을 합니다. 상대방은 어떠한 생각을 가지고 있는지부터 파악하고 갈등을 해결하려고 합니다.","continue"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","감정적인 자세로 갈등을 해결하려고 하면 서로의 감정만 상하고 갈등을 해결하지 못한 경험이 있습니다. 따라서 이성적인 자세로 갈등을 해결하곤 합니다.","continue"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","대체로 갈등을 피하려고 합니다. 저는 맞서는 걸 별로 좋아하지 않아서요.","terminate"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","먼저 선빵을 칩니다.","terminate"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","삐져서 말을 안하고 그 자리를 피합니다.","terminate"
"자기 전 꼭 하는 루틴이 있다면?","하루를 돌아보는 일기와 다음날 할 일 정리를 꼭 합니다. 이 습관이 생긴 뒤로 하루의 밀도가 확실히 달라졌습니다.","continue"
"자기 전 꼭 하는 루틴이 있다면?","자기 전 독서를 합니다. 자기 전에 독서를 하고 자면 책 내용에 대한 생각 정리를 할 수 있어 뜻깊은 시간을 가질 수 있기 때문입니다.","continue"
"자기 전 꼭 하는 루틴이 있다면?","오늘 개발한 코드를 리뷰하는 시간을 가집니다. 자기 전에 코드를 다시 확인하면 제가 제대로 개발을 했는지를 확인할 수 있기 때문입니다.","continue"
"자기 전 꼭 하는 루틴이 있다면?","핸드폰 보다가 자는 편입니다. 습관은 따로 없는 것 같아요.","terminate"
"자기 전 꼭 하는 루틴이 있다면?","OTT를 시청하고 잡니다.","terminate"
"자기 전 꼭 하는 루틴이 있다면?","모든 옷을 벗고 알몸으로 잡니다.","terminate"
"가장 인상 깊었던 여행지는 어디인가요?","아이슬란드의 골든서클을 방문했을 때, 자연이 만들어낸 거대한 스케일 앞에 겸손해졌던 기억이 납니다. 그때 찍은 사진은 아직도 제 배경화면입니다.","continue"
"가장 인상 깊었던 여행지는 어디인가요?","제주도 여행입니다. 특히 한라산에 올랐던 경험이 정말 인상 깊었습니다. 가족과 함께 등산하여 가족들의 얼굴을 쳐다봤을 때 행복한 기억이 있습니다.","continue"
"가장 인상 깊었던 여행지는 어디인가요?","베트남 다낭 여행이 기억에 남습니다. 음식도 맛있고 사람들도 친절했습니다.","continue"
"가장 인상 깊었던 여행지는 어디인가요?","부산에 친구들이랑 다녀왔는데 재미있었습니다.","terminate"
"가장 인상 깊었던 여행지는 어디인가요?","여행을 가본 적이 없습니당. 가고 싶어요.","terminate"
"가장 인상 깊었던 여행지는 어디인가요?","여행 가고 싶어용","terminate"
"최근에 포기한 것이 있다면?","원래 대학원 진학을 준비했지만, 스스로 원하는 방향이 아니라는 걸 깨닫고 접었습니다. 대신 실무 경험을 통해 성장하기로 마음먹었습니다.","continue"
"최근에 포기한 것이 있다면?","자격증 시험을 2년 동안 준비하다가 실패해서 한동안 슬럼프에 빠졌습니다. 하지만 준비가 안 된 상태에서 준비하기 보다는, 준비하는 시간을 가지고 다시 도전하려고 합니다.","continue"
"최근에 포기한 것이 있다면?","취업 준비를 하면서 워라벨에 대한 집착을 했었지만, 워라벨보다는 저에게 적합한 직무에 지원하는 것이 중요하다고 생각하여 워라벨에 대한 집착을 포기했습니다.","continue"
"최근에 포기한 것이 있다면?","운동을 하려다가 시간이 안 돼서 그만뒀어요.","terminate"
"최근에 포기한 것이 있다면?","아침 8시에 일어나는 걸 포기했습니다.","terminate"
"최근에 포기한 것이 있다면?","다이어트 포기했습니다.","terminate"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","계획을 세우면 끝까지 해내려는 끈기가 가장 자랑스럽습니다. 1년 간 매일 알고리즘 문제를 푼 기록이 있습니다.","continue"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","모든 행동에 꼼꼼한 점이 자랑스럽습니다. 꼼꼼함으로 실수를 한 적이 없기 때문입니다.","continue"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","문서 정리를 잘하는 점이 자랑스럽습니다. 팀 프로젝트를 할 때마다 제 문서 작업에 대한 긍정적인 피드백을 받았기 때문입니다.","continue"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","그래도 괜찮은 사람인 것 같습니다. 주변 사람들도 그렇게 말해요.","terminate"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","저는 자랑스러운 점이 없습니다.","terminate"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","청결을 잘 유지하는 점이 자랑스럽습니다.","terminate"
"창의적인 경험을 해본 적이 있나요?","음악과 기술을 융합한 미디어 아트를 기획한 적 있습니다. 관객의 움직임에 따라 소리가 변하는 인터랙티브 설치물을 구현했습니다.","continue"
"창의적인 경험을 해본 적이 있나요?","빈 도화지 위에 물감을 이용해서 그림을 그려본 적이 있습니다. 그림을 그리는 작업을 통해 제 머릿속을 비면서 생각 정리를 할 수 있습니다.","continue"
"창의적인 경험을 해본 적이 있나요?","아이디어 경진대회에 출전하여 수상한 경험이 있습니다. 재사용 휴지를 개발하여 제출했었습니다.","continue"
"창의적인 경험을 해본 적이 있나요?","그림 그리는 걸 좋아합니다. 가끔 색다른 스타일로 그리곤 해요.","terminate"
"창의적인 경험을 해본 적이 있나요?","비현실적인 꿈을 꿔봤습니다.","terminate"
"창의적인 경험을 해본 적이 있나요?","냉장고에 있는 모든 음식을 냄비에 넣고 끓여서 제 강아지한테 줬습니다.","terminate"
"무언가를 가르쳐본 경험이 있다면?","정보소외 계층 아이들에게 코딩 교육을 한 적 있습니다. 알고리즘보다 ‘재미’를 우선했더니 참여도가 확 올라갔습니다.","continue"
"무언가를 가르쳐본 경험이 있다면?","부트캠프에서 비전공자 팀원분이 개발하면서 어려워하는 부분을 해결해준 기억이 있습니다. VS Code 내에서 사용하면 편한 플러그인 설치를 도와주어 개발의 편리성을 가르쳐드린 적이 있습니다.","continue"
"무언가를 가르쳐본 경험이 있다면?","대학교 입시를 준비하는 동생의 면접을 봐준 경험이 있습니다. 저는 면접 전형에서 최초합으로 합격한 경험이 있기 때문입니다.","continue"
"무언가를 가르쳐본 경험이 있다면?","동생 공부를 도와준 적은 있습니다. 잘 기억은 안 나지만요.","terminate"
"무언가를 가르쳐본 경험이 있다면?","제 친구한테 요리를 가르쳐줘서 망한 기억이 있어요.","terminate"
"무언가를 가르쳐본 경험이 있다면?","없습니다.","terminate"
"자신의 멘토가 있다면 누구인가요?","대학 시절 교수님이 제 멘토였습니다. 기술뿐 아니라 인생의 태도까지 배우게 해주셨던 분입니다.","continue"
"자신의 멘토가 있다면 누구인가요?","부트캠프 최종 프로젝트 멘토를 담당해주신 김민수 멘토님입니다. 회사 일 하시느라 바쁘신데도 저희 조의 개발 속도를 위해서 도움을 주신 기억이 있습니다.","continue"
"자신의 멘토가 있다면 누구인가요?","제 가장 친한 친구가 생각납니다. 이 친구는 모든 행동에 긍정적인 사고를 가지고 행동하는데 부정적인 태도를 가진 저는 이 친구를 보면서 배운 점이 많습니다.","continue"
"자신의 멘토가 있다면 누구인가요?","정해진 멘토는 없지만 좋은 말 하는 사람은 좋아합니다.","terminate"
"자신의 멘토가 있다면 누구인가요?","김삿갓 멘토님입니다.","terminate"
"자신의 멘토가 있다면 누구인가요?","없습니다. 굳이 뽑자면 제 엄마입니다.","terminate"
"스트레스를 해소하는 나만의 방법이 있다면?","문제를 글로 정리하는 습관이 있습니다. 감정을 기록하면 정리가 되고, 다시 볼 때 제 자신을 객관적으로 보게 되더라고요.","continue"
"스트레스를 해소하는 나만의 방법이 있다면?","눈을 감고 쉼호흡을 하며 명상을 합니다. 명상을 하면 생각 정리가 되어 제 스트레스를 차분히 해소할 수 있기 때문입니다.","continue"
"스트레스를 해소하는 나만의 방법이 있다면?","기능을 만들 때까지 코딩을 합니다. 기능을 만들 때의 쾌감을 느낄 때마다 제 전공에 대한 자신감도 생기고, 자기개발을 할 수 있습니다.","continue"
"스트레스를 해소하는 나만의 방법이 있다면?","그냥 자거나 친구들 만나서 풀어요.","terminate"
"스트레스를 해소하는 나만의 방법이 있다면?","친구에게 욕을 합니다. 상대방에게 불쾌한 욕을 하면 스트레스가 해소됩니다.","terminate"
"스트레스를 해소하는 나만의 방법이 있다면?","친구의 뱃살을 만집니다. 말랑해서 기분이 좋습니다.","terminate"
"좋아하는 브랜드나 서비스가 있다면?","노션을 정말 좋아합니다. 단순한 메모를 넘어서 생각을 확장하고 정리하는 데 큰 도움이 되고 있어서 생산성이 올라갑니다.","continue"
"좋아하는 브랜드나 서비스가 있다면?","Confluence를 좋아합니다. 문서 작업을 통해 협업을 할 때 소통이 빠르고, 다른 팀원의 진행상황을 확인할 수 있기 때문에 개발 속도가 향상됩니다.","continue"
"좋아하는 브랜드나 서비스가 있다면?","쇼핑몰인 무신사 스토어를 좋아합니다. 무신사 스토어는 다인원이 동시에 접속해도 서버가 다운되지 않아 쇼핑의 질을 향상시켜주기 때문입니다.","continue"
"좋아하는 브랜드나 서비스가 있다면?","요즘은 다들 쿠팡 많이 쓰는 것 같아요. 저도 씁니다.","terminate"
"좋아하는 브랜드나 서비스가 있다면?","베이글 맛집인 행복 베이글 가게를 좋아합니다. 맛있습니다.","terminate"
"좋아하는 브랜드나 서비스가 있다면?","쇼핑을 할 때 중국 플랫폼인 테무를 사용합니다. 가격이 싸서 좋습니다.","terminate"
"실패 이후의 회복력을 보여준 경험이 있다면?","해커톤 중 데이터베이스가 삭제되는 큰 실수를 했지만, 백업과 리팩토링으로 2시간 내에 복구해 마감할 수 있었습니다.","continue"
"실패 이후의 회복력을 보여준 경험이 있다면?","개발 중 브랜치 push 과정에서 올려서면 안 되는 env 파일을 Git Hub에 업로드한 경험이 있습니다. 즉시 Rollback을 통해 커밋을 취소하고 다시 push하여 해결한 경험이 있습니다.","continue"
"실패 이후의 회복력을 보여준 경험이 있다면?","코딩하다가 저장을 하지 않고 노트북을 꺼버려 코딩 작업이 날라간 경험이 있습니다. 하지만 중간 commit을 했었기 때문에 모든 코드를 날리지 않고 금방 해결하여 개발을 했습니다.","continue"
"실패 이후의 회복력을 보여준 경험이 있다면?","실패는 누구나 하잖아요. 저는 그냥 잊어버립니다.","terminate"
"실패 이후의 회복력을 보여준 경험이 있다면?","실패를 경험하면 아무것도 하기가 싫어져 그냥 잡니다.","terminate"
"실패 이후의 회복력을 보여준 경험이 있다면?","실패를 해도 지구가 망하는 것은 아니니 그냥 무시합니다.","terminate"
"자신이 영향을 준 사람이나 사례가 있다면?","과거 발표 공포증이 있는 친구가 있었는데, 제가 함께 자료를 준비하고 연습을 도와주며 발표를 무사히 마치게 된 일이 있었습니다.","continue"
"자신이 영향을 준 사람이나 사례가 있다면?","다른 사람의 눈을 쳐다보지 못하면서 대화를 하는 친구가 있었습니다. 그 친구와 눈을 쳐다보며 대화하는 연습을 통해 자신감을 준 경험이 있습니다.","continue"
"자신이 영향을 준 사람이나 사례가 있다면?","대학교 교양 수업 교수님이 생각납니다. 원어민과 회화를 하면서 회화 능력을 키우는 수업이었는데, 평소 자신감이 부족한 제가 이 수업을 통해 자신감을 얻고 해외 여행을 가서 외국인과 자연스럽게 대화한 경험이 있습니다.","continue"
"자신이 영향을 준 사람이나 사례가 있다면?","친구들한테 웃음을 주는 편이라 긍정적인 영향을 줄 수 있지 않을까요?","terminate"
"자신이 영향을 준 사람이나 사례가 있다면?","저는 자신감이 부족해서 다른 사람에게 영향을 주기보다는 피해를 준 기억이 있습니다.","terminate"
"자신이 영향을 준 사람이나 사례가 있다면?","맛있는 음식을 친구에게 소개를 해줘서 친구를 행복하게 만든 경험이 있습니다.","terminate"
"미래의 나에게 조언을 한다면?","지금처럼 생각 많고 불안해도 괜찮으니 계속 시도하고, 사람을 귀하게 여기라는 말을 해주고 싶습니다.","continue"
"미래의 나에게 조언을 한다면?","부정적인 생각을 하지 말고 자신감을 가지고 행동하라는 말을 전해주고 싶습니다. 저는 항상 실패를 염두에 두고 행동을 실천하지 못하는 것이 단점이기 때문입니다.","continue"
"미래의 나에게 조언을 한다면?","저는 조언이 필요 없다고 생각합니다. 미래의 저는 끊임없이 발전할 것이기 때문입니다.","continue"
"미래의 나에게 조언을 한다면?","앞으로 잘 살았으면 좋겠다. 다 잘 될 거야.","terminate"
"미래의 나에게 조언을 한다면?","잘 살아. 행복해야 돼.","terminate"
"미래의 나에게 조언을 한다면?","먹는 것을 조절하면서 다이어트하도록 해. 돼지같아.","terminate"
"최근에 스스로 기특했던 순간이 있다면?","한 달간 매일 오전 6시에 일어나 자기계발 시간을 가졌습니다. 그 작은 반복이 저를 더 나은 방향으로 끌어올렸다고 생각합니다.","continue"
"최근에 스스로 기특했던 순간이 있다면?","하루도 빠짐없이 운동을 한 것입니다. 아무리 학교 수업이 늦게 끝나거나 몸이 피곤해도 더 나은 자신을 위해 포기하지 않고 운동했습니다.","continue"
"최근에 스스로 기특했던 순간이 있다면?","팀 프로젝트 중 개발이 더딘 팀원이 있었지만, 감정적으로 행동하지 않고 그 팀원을 도와 빠르게 문제를 해결한 경험이 있습니다.","continue"
"최근에 스스로 기특했던 순간이 있다면?","시험 공부를 조금 미리 했던 게 다행이었습니다.","terminate"
"최근에 스스로 기특했던 순간이 있다면?","오전 6시에 기상한 기억이 있습니다. 단지 하루만 그랬다는 사실이지만요.","terminate"
"최근에 스스로 기특했던 순간이 있다면?","없습니다. 저는 발전한 적이 없기 때문입니다.","terminate"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","성실보다 중요한 건 ‘신뢰’라고 생각합니다. 사람과 사람 사이에 신뢰가 있어야 진짜 협력이 가능하다고 믿습니다.","continue"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","제 행복이라고 생각합니다. 저는 다른 사람을 위해 사는 것이 아닌 제 자신을 먼저 생각하고 살아야 하기 때문에 제가 행복한 것이 최우선적으로 중요하다고 생각합니다.","continue"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","작은 일에도 행복을 느끼는 것입니다. 굳이 큰 일이 아니더라도 행복감을 느끼며 살아가는 것이 중요하다고 생각합니다.","continue"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","성실한 게 제일 중요하다고 생각합니다. 당연한 거지만요.","terminate"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","밥을 맛있게 먹는 것입니다. 밥을 거르면 배고파요.","terminate"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","돈이라고 생각합니다. 알바를 아무리해도 돈이 없어요.","terminate"
"시간 관리를 어떻게 하고 있나요?","타임블록 기반으로 하루를 구획하고, 주간 회고를 통해 실제 시간 사용과 계획의 괴리를 점검하고 있습니다.","continue"
"시간 관리를 어떻게 하고 있나요?","투두메이트라는 어플을 사용하여 제 계획을 미래 날짜까지 정리해놓는 편입니다. 수행한 목록을 체크하면 제가 뭘 했는지 파악할 수 있어 계획이 흐트러지지 않기 때문입니다.","continue"
"시간 관리를 어떻게 하고 있나요?","핸드폰의 메모장을 이용해서 오늘 할 일을 목록화 해놓고, 약속을 나가기 전에는 무조건 3시간 전에 알람을 설정해놔서 약속에 늦지 않게 합니다.","continue"
"시간 관리를 어떻게 하고 있나요?","그냥 그때그때 정해서 움직이는 편이에요.","terminate"
"시간 관리를 어떻게 하고 있나요?","계획을 하지 않고 행동해서 시간 관리는 안 하고 있습니다.","terminate"
"시간 관리를 어떻게 하고 있나요?","무계획적인 사람이라 그때 하고 싶은 일을 합니다.","terminate"
"어떤 개발자가 되고 싶나요?","사용자에게 진정한 가치를 제공하는 개발자가 되고 싶습니다. 기술이 사람들의 삶을 더 나아지게 하는 데 기여하고 싶어요.","continue"
"어떤 개발자가 되고 싶나요?","사회적으로 차별받는 사람을 도울 수 있는 개발자가 되고 싶습니다. 특히 장애인들이 편하게 생활할 수 있도록 도움을 주는 어플을 개발하고 싶습니다.","continue"
"어떤 개발자가 되고 싶나요?","실생활에서도 편리하게 사용할 수 있는 어플을 개발하는 사람이 되고 싶습니다. 연세가 많으신 분들도 사용할 수 있는 어플을 개발하여 어르신들이 IT 기술에 느끼는 거리감을 감소시키고 싶습니다.","continue"
"어떤 개발자가 되고 싶나요?","개발자가 그냥 멋있어서 해보고 싶었습니다.","terminate"
"어떤 개발자가 되고 싶나요?","그냥 풀스택 개발자를 하고 싶습니다. 사실 사용할 수 있는 툴은 Spring Boot 밖에 없지만요.","terminate"
"어떤 개발자가 되고 싶나요?","개발할 줄은 모르지만 그냥 전공을 살리고 싶었습니다.","terminate"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","매일 잠들기 전에 그날 감사했던 일을 한 가지씩 기록합니다. 짧지만 마음을 가다듬는 데 큰 도움이 됩니다.","continue"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","하루에 한 번 꼭 운동을 합니다. 헬스장을 가지 못한다면 집에서 운동을 할 정도로 자기 관리에 충실한 편입니다.","continue"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","자기 전 일기를 적고 자는 습관이 있습니다. 일기를 적으면서 제가 오늘 실수한 점을 적어서 반성하는 시간을 가집니다.","continue"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","저는 매일 아침에 일어나자마자 핸드폰을 켜서 SNS를 확인합니다. 이게 일상이 되었고 하루가 시작됐다는 느낌을 줍니다.","terminate"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","손톱 정리를 할 때 손톱깎이를 안 쓰고 입으로 물어 뜯습니다.","terminate"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","매일 아침 한 잔의 커피를 원샷합니다. 그러면 심장이 뛰어서 기분이 좋거든요.","terminate"
"리더십을 발휘했던 경험이 있나요?","해커톤에서 팀장이 되어 전체 일정과 리소스를 조율했습니다. 특히 프론트 개발자가 갑자기 빠진 상황에서 직접 프론트 일부를 도와 프로젝트를 끝까지 이끌었습니다.","continue"
"리더십을 발휘했던 경험이 있나요?","캡스톤 디자인 졸업 작품을 진행할 때 리더를 맡아 한 주마다 코드 리뷰 시간을 계획하여 서로 리뷰를 하고 피드백을 주는 시간을 가졌습니다. 이를 통해 서로의 코드를 이해하여 모르는 부분이 없도록 진행했습니다.","continue"
"리더십을 발휘했던 경험이 있나요?","대학교 수업에서 조장을 맡은 적이 있습니다. 그때 친구들이랑 함께 PPT도 만들고 발표도 했습니다. 모두가 잘 해줬습니다.","terminate"
"리더십을 발휘했던 경험이 있나요?","저는 끌려가는 팀원 역할이 좋아 리더를 맡은 적이 단 한 번도 없습니다.","terminate"
"자신의 성장을 위해 어떤 노력을 해왔나요?","정기적으로 돌아보는 회고 문화를 스스로 만들었습니다. 1주일마다 스스로에게 질문을 던지고 그에 대한 답을 문서로 남겨, 시행착오를 줄였습니다.","continue"
"자신의 성장을 위해 어떤 노력을 해왔나요?","저는 성장을 위해 목표를 3가지 새웠습니다. 첫 번째 건강한 육체에 건강한 정신이 든다. 두 번째 한달에 책 하나라도 읽기 세 번째 사람들에게 친절하게 대하기 입니다.","continue"
"자신의 성장을 위해 어떤 노력을 해왔나요?","코딩을 할 때 AI에만 의존하지 않고 직접 인터넷 서치를 하면서 다른 사람들의 코드도 활용하고, 공식 문서를 참고하여 코딩하는 노력을 했습니다.","continue"
"자신의 성장을 위해 어떤 노력을 해왔나요?","잘 기억은 안 나지만, 항상 꾸준히 하려고 노력해왔습니다. 책도 읽고 강의도 듣고 그랬습니다.","terminate"
"자신의 성장을 위해 어떤 노력을 해왔나요?","매일 삼시세끼 잘 챙겨먹으며 건강한 사람으로 성장했습니다.","terminate"
"자신의 성장을 위해 어떤 노력을 해왔나요?","노력한 점은 없습니다. 그냥 운이 좋아 행운이 따라와서 성장했습니다.","terminate"
"다른 사람이 나를 오해했을 때 어떻게 행동하나요?","오해를 푸는 데 시간과 에너지가 들어도 결국은 정리해두는 게 낫다고 생각합니다. 최근엔 프로젝트 중 제 역할에 대해 오해가 생겼지만, 직접 설명하면서 오히려 관계가 더 좋아졌습니다.","continue"
"다른 사람이 나를 오해했을 때 어떻게 행동하나요?","","continue"
"다른 사람이 나를 오해했을 때 어떻게 행동하나요?","오해는 어차피 생기는 거고, 저는 별로 신경 안 씁니다. 알아서 풀리겠죠.","terminate"
"다른 사람이 나를 오해했을 때 어떻게 행동하나요?","오해를 하던 말던 전 상관 안 해요. 다른 사람 생각은 궁금하지 않습니다.","terminate"
"직무와 관련 없이 해본 활동 중 인상 깊었던 경험은?","고등학생 멘토링 프로그램에 참여해 진로 상담을 해준 적이 있습니다. 기술 외에도 인간적으로 연결될 수 있다는 점에서 큰 배움을 얻었습니다.","continue"
"직무와 관련 없이 해본 활동 중 인상 깊었던 경험은?","봉사활동 몇 번 해본 적 있습니다. 의미 있는 시간이었습니다.","terminate"
"내가 맡은 일에 대한 책임감을 어떻게 표현하나요?","작업 중 문제가 생겼을 때 먼저 리포트하고 대안을 제시하는 걸 중요하게 생각합니다. 책임은 피하는 게 아니라 분명히 나서서 감당하는 태도라고 생각합니다.","continue"
"내가 맡은 일에 대한 책임감을 어떻게 표현하나요?","일단 저는 제가 맡은 일은 열심히 합니다. 책임감은 기본이라고 생각합니다. 그걸 꼭 말로 표현할 필요는 없다고 봅니다.","terminate"
"스스로의 감정을 어떻게 다루는 편인가요?","감정을 억누르기보단 객관화하려고 노력합니다. 혼란스러울 땐 글을 써서 제 감정의 원인을 정리하고, 타인에게 전달할 수 있을 때만 공유합니다.","continue"
"스스로의 감정을 어떻게 다루는 편인가요?","감정은 표현해야 된다고 생각합니다. 저는 기분이 안 좋으면 바로 얼굴에 다 드러나는 편입니다.","terminate"
"요즘 가장 관심 있는 사회적 이슈는 무엇인가요?","AI 윤리 문제에 관심이 많습니다. 기술의 빠른 발전 속에서 개인 정보와 책임 소재가 명확히 구분되지 않는 상황이 자주 발생하고 있기 때문입니다.","continue"
"요즘 가장 관심 있는 사회적 이슈는 무엇인가요?","요즘 물가가 너무 올라서 힘든 것 같습니다. 세상이 너무 각박해졌어요.","terminate"
"자기 자신을 한 단어로 표현한다면?","'균형'이라고 생각합니다. 일과 삶, 집중과 여유 사이에서 균형을 유지하려는 태도가 저를 구성하는 핵심입니다.","continue"
"자기 자신을 한 단어로 표현한다면?","열정. 그냥 열정이라고 하면 다 설명되지 않을까요?","terminate"
"시간이 주어진다면 꼭 도전해보고 싶은 것이 있나요?","에너지 효율을 높이는 스마트팜 시스템을 개발해보고 싶습니다. 기술이 환경과 연결될 수 있다는 가능성이 저를 자극합니다.","continue"
"시간이 주어진다면 꼭 도전해보고 싶은 것이 있나요?","언젠가 유럽 여행을 가보고 싶습니다. 시간이 나면 꼭 가볼 생각입니다.","terminate"
"마지막으로 자신을 채용해야 하는 이유는 무엇이라고 생각하나요?","기술뿐 아니라 사람을 이해하려는 태도를 갖추고 있습니다. 조직에 필요한 조율자이자 기여자로 성장할 수 있는 사람입니다.","continue"
"마지막으로 자신을 채용해야 하는 이유는 무엇이라고 생각하나요?","저는 열심히 하고 배우는 자세로 임할 수 있습니다. 어떤 일이든 맡겨만 주세요.","terminate"
"당신은 어떤 방식으로 배우는 걸 선호하나요?","실제로 부딪혀보는 방식이 가장 효과적이라고 느낍니다. 이론보다는 실습 위주로 프로젝트를 먼저 해보고, 이후 이론을 채워넣는 방식으로 학습합니다.","continue"
"당신은 어떤 방식으로 배우는 걸 선호하나요?","유튜브로 많이 배웁니다. 그게 제일 보기 편하더라고요.","terminate"
